App,Category,Rating,Price,Reviews,Size,Installs,Type,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,0,159,19M,"10,000+",Free,Everyone,Art & Design,7-Jan-18,1.0.0,4.0.3 and up
Coloring book moana,ART_AND_DESIGN,3.9,0,967,14M,"500,000+",Free,Everyone,Art & Design;Pretend Play,15-Jan-18,2.0.0,4.0.3 and up
"U Launcher Lite ??FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,0,87510,8.7M,"5,000,000+",Free,Everyone,Art & Design,1-Aug-18,1.2.4,4.0.3 and up
Sketch - Draw & Paint,ART_AND_DESIGN,4.5,0,215644,25M,"50,000,000+",Free,Teen,Art & Design,8-Jun-18,Varies with device,4.2 and up
Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,0,967,2.8M,"100,000+",Free,Everyone,Art & Design;Creativity,20-Jun-18,1.1,4.4 and up
Paper flowers instructions,ART_AND_DESIGN,4.4,0,167,5.6M,"50,000+",Free,Everyone,Art & Design,26-Mar-17,1,2.3 and up
Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,0,178,19M,"50,000+",Free,Everyone,Art & Design,26-Apr-18,1.1,4.0.3 and up
Infinite Painter,ART_AND_DESIGN,4.1,0,36815,29M,"1,000,000+",Free,Everyone,Art & Design,14-Jun-18,6.1.61.1,4.2 and up
Garden Coloring Book,ART_AND_DESIGN,4.4,0,13791,33M,"1,000,000+",Free,Everyone,Art & Design,20-Sep-17,2.9.2,3.0 and up
Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,0,121,3.1M,"10,000+",Free,Everyone,Art & Design;Creativity,3-Jul-18,2.8,4.0.3 and up
Text on Photo - Fonteee,ART_AND_DESIGN,4.4,0,13880,28M,"1,000,000+",Free,Everyone,Art & Design,27-Oct-17,1.0.4,4.1 and up
Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,0,8788,12M,"1,000,000+",Free,Everyone,Art & Design,31-Jul-18,1.0.15,4.0 and up
